Year,Country,Sum,Country,,,,,,,,,,,,,,
2005,Austria,17916,Austria,,,,,,,,,,,,,,
2005,Belgium,11985,Belgium,,,,,,,,,,,,,,
2005,Germany,306453,Germany,,,,,,,,,,,,,,
2005,Denmark,31349,Denmark,,,,,,,,,,,,,,
2005,Spain,1185,Spain,,,,,,,,,,,,,,
2005,Finland,7677,Finland,,,,,,,,,,,,,,
2005,France,17575,France,,,,,,,,,,,,,,
2005,United Kingdom,116577,United Kingdom,,,,,,,,,,,,,,
2005,Hungary,6734,Hungary,,,,,,,,,,,,,,
2005,Ireland,1541,Ireland,,,,,,,,,,,,,,
2005,Netherlands,81259,Netherlands,,,,,,,,,,,,,,
2005,Poland,5619,Poland,,,,,,,,,,,,,,
2005,Portugal,13,Portugal,,,,,,,,,,,,,,
2005,Sweden,57604,Sweden,,,,,,,,,,,,,,
